isoo,isod,Nijl,Nijh,dums
ARM,ARG,0,0,0
ARM,ARM,1467586,346733,1
ARM,AUS,420,397,0
ARM,AUT,0,0,0
ARM,AZE,0,0,0
ARM,BDI,0,0,0
ARM,BEL,3,0,0
ARM,BEN,0,0,0
ARM,BFA,0,0,0
ARM,BGD,0,0,0
ARM,BGR,0,0,0
ARM,BHR,0,0,0
ARM,BHS,0,0,0
ARM,BIH,0,0,0
ARM,BLR,0,0,0
ARM,BLZ,0,0,0
ARM,BOL,0,0,0
ARM,BRA,0,0,0
ARM,BRB,0,0,0
ARM,BRN,0,0,0
ARM,BTN,0,0,0
ARM,BWA,0,0,0
ARM,CAF,0,0,0
ARM,CAN,560,2125,0
ARM,CHE,0,0,0
ARM,CHL,0,0,0
ARM,CHN,0,0,0
ARM,CIV,0,0,0
ARM,CMR,0,0,0
ARM,COG,0,0,0
ARM,COL,0,0,0
ARM,COM,0,0,0
ARM,CPV,0,0,0
ARM,CRI,0,0,0
ARM,CUB,0,0,0
ARM,CYP,0,0,0
ARM,CZE,700,511,0
ARM,DEU,0,0,0
ARM,DJI,0,0,0
ARM,DNK,243,162,0
ARM,DOM,0,0,0
ARM,DZA,0,0,0
ARM,ECU,0,0,0
ARM,EGY,0,0,0
ARM,ERI,0,0,0
ARM,ESP,4375,3950,0
ARM,EST,279,281,0
ARM,ETH,0,0,0
ARM,FIN,31,20,0
ARM,FJI,0,0,0
ARM,FRA,9268,3899,0
ARM,FSM,0,0,0
ARM,GAB,0,0,0
ARM,GBR,458,778,0
ARM,GEO,0,0,0
ARM,GHA,0,0,0
ARM,GIN,0,0,0
ARM,GMB,0,0,0
ARM,GNB,0,0,0
ARM,GNQ,0,0,0
ARM,GRC,8948,3091,0
ARM,GRD,0,0,0
ARM,GTM,0,0,0
ARM,GUY,0,0,0
ARM,HND,0,0,0
ARM,HRV,0,0,0
ARM,HTI,0,0,0
ARM,HUN,85,96,0
ARM,IDN,0,0,0
ARM,IND,0,0,0
ARM,IRL,54,55,0
ARM,IRN,0,0,0
ARM,IRQ,0,0,0
ARM,ISL,3,0,0
ARM,ISR,0,0,0
ARM,ITA,441,370,0
ARM,JAM,0,0,0
ARM,JOR,0,0,0
ARM,JPN,3,13,0
ARM,KAZ,0,0,0
ARM,KEN,0,0,0
