iso,Lambda,LambdaNM,LambdaPESC,LambdaSC,Hr,Hn,HrNM,HrPESC,HnSC,Niih,Niil,Mh,Ml,L,N,LIC,LMIC,UMIC,HIC,mH,mL,HnNM,HnPE,HnGE
"GTM",3.521950115971,3.31605225092637,3.2738699478034,3.28228435597744,0.0499533836848826,0.0528910018993195,0.0515888076288594,0.0519284869476362,0.0513596496820719,269611,5127641,49073.9999999968,578990.000000818,5397252,6025316,0,0,1,0,0.153989048747185,0.10145916215729,0.0515888076288594,0.0513018115243262,0.0513596496820719
"GUY",7.04924842676442,2.74434180219015,2.98843859085852,3.10529964437852,0.0936028808744782,0.209649963774215,0.0496297117165898,0.0570599769416923,0.0676430885080141,32985,319408,110251,220570.999999991,352393,683215,0,1,0,0,0.769715713926667,0.408480700175361,0.0496297117165898,0.0618214459065844,0.0676430885080141
"HND",4.23125679661128,3.57396494507682,3.68621296451925,3.67143063821376,0.0531513681667189,0.0623173352900418,0.047038132439952,0.0483276283748138,0.0494128609407829,169782,3024529,55871.9999999979,370863.999999812,3194311,3621047,0,1,0,0,0.247600308436801,0.109225647811553,0.047038132439952,0.0497699185870394,0.0494128609407829
"HRV",2.28463076328715,2.24304148742982,2.24199298201615,2.24215420468206,0.137134951882622,0.139323379649607,0.137312483071324,0.137316199975761,0.137268769030233,485328,3053726,79691.0000000056,436704.999999885,3539054,4055450,0,0,1,0,0.141041274718205,0.125114921337762,0.137312483071324,0.137260822307239,0.137268769030233
"HTI",6.15772159603489,2.97767577271808,3.45649925026838,3.40775346706601,0.0292015403434316,0.0585613840558147,0.0135775784595235,0.0179701651201877,0.020048373560005,124113,4126108,160450.000000001,448554.999997976,4250221,4859226,1,0,0,0,0.563847021573434,0.0980520313732347,0.0135775784595235,0.0207997427649139,0.020048373560005
"HUN",1.46857532984529,1.34180740932799,1.39838628174505,1.39179579586497,0.134804508439591,0.139497444264472,0.111371571226374,0.121052167930999,0.123074282035525,1064947,7189852,138533.999999989,233929.000000172,8574053,8627262,0,0,1,0,0.115111081936474,0.0315107625076995,0.111371571226374,0.124554745923857,0.123074282035525
"IDN",2.6944780990789,2.65285485214146,2.64694581191001,2.64861780172502,0.0657578604105989,0.0667207616494521,0.0661029622210303,0.0661513016731001,0.0660389842382673,8143123,115691852,139076.999999729,158224.000079684,123834975,124132276,0,0,1,0,0.016792277414181,0.00136576518154105,0.0661029622210303,0.0660136814153156,0.0660389842382672
"IND",2.78673603773066,2.67722900666771,2.72137746733637,2.7139478075725,0.0810890268676146,0.0841267901405198,0.0752761261660613,0.0776561982621279,0.0782358314538191,48549857,550173039,2087376.00000093,1105395.00017549,598722896,601915667,0,1,0,0,0.041222157616727,0.00200514827354101,0.0752761261660613,0.0788358212043859,0.0782358314538191
"IRL",1.48044850544864,1.52130708868161,1.54613278449527,1.50914441502186,0.404190710108615,0.394146326101531,0.416179499412184,0.390509689888095,0.409745436451222,1172767,1754278,254036.000000005,438901.999999988,3457457,3619983,0,0,0,1,0.178045602651526,0.200121285074635,0.416179499412184,0.428998131817449,0.409745436451222
"IRN",2.69816939570572,2.51254942260692,2.49328881577238,2.49831194550996,0.1186302112745,0.126287481162628,0.120793471946528,0.120992585121803,0.120338357874407,5147679,38244969,432555.999999978,361558.999996019,43392648,44186763,0,0,1,0,0.0775157318643351,0.00936522963152809,0.120793471946528,0.120176548512513,0.120338357874407
"IRQ",2.49141691750735,2.35960245846665,2.42340162601145,2.41496348515061,0.146872285053211,0.153815000816231,0.128060982463647,0.137220062807716,0.138762568712976,1831206,10636810,161604.999999951,326274.000001831,12468016,12955895,0,1,0,0,0.0810939923554972,0.0297611511507009,0.128060982463647,0.140409290297818,0.138762568712976
