o_iso,d_iso,dumsa,cijha,cijla,migH,migL
"ALB","EGY",0,1,1,0,0
"ALB","ERI",0,1,1,0,0
"ALB","ESP",0,0.999678043833978,0.999992737941814,785,1060
"ALB","EST",0,0.999999904035984,0.999999998339637,3,3
"ALB","ETH",0,1,1,0,0
"ALB","FIN",0,0.999997884404268,0.99999971122157,31,129
"ALB","FJI",0,1,1,0,0
"ALB","FRA",0,0.999485897536453,0.999976550269011,1311,2906
"ALB","FSM",0,1,1,0,0
"ALB","GAB",0,1,1,0,0
"ALB","GBR",0,0.99751525420816,0.999912493706607,3849,6764
"ALB","GEO",0,1,1,0,0
"ALB","GHA",0,1,1,0,0
"ALB","GIN",0,1,1,0,0
"ALB","GMB",0,1,1,0,0
"ALB","GNB",0,1,1,0,0
"ALB","GNQ",0,1,1,0,0
"ALB","GRC",0,0.935271010242675,0.970716668035545,26788,312982
"ALB","GRD",0,1,1,0,0
"ALB","GTM",0,1,1,0,0
"ALB","GUY",0,1,1,0,0
"ALB","HND",0,1,1,0,0
"ALB","HRV",0,1,1,0,0
"ALB","HTI",0,1,1,0,0
"ALB","HUN",0,0.999986680925629,0.999999559274994,52,93
"ALB","IDN",0,1,1,0,0
"ALB","IND",0,1,1,0,0
"ALB","IRL",0,0.999986389643045,0.999998484152433,119,439
"ALB","IRN",0,1,1,0,0
"ALB","IRQ",0,1,1,0,0
"ALB","ISL",0,0.999999926562826,0.999999970508415,3,24
"ALB","ISR",0,1,1,0,0
"ALB","ITA",0,0.957199245075929,0.982632961672756,27015,267375
"ALB","JAM",0,1,1,0,0
"ALB","JOR",0,1,1,0,0
"ALB","JPN",0,0.99999903879177,0.999999983970218,16,17
"ALB","KAZ",0,1,1,0,0
"ALB","KEN",0,1,1,0,0
"ALB","KGZ",0,1,1,0,0
"ALB","KHM",0,1,1,0,0
"ALB","KWT",0,1,1,0,0
"ALB","LAO",0,1,1,0,0
"ALB","LBN",0,1,1,0,0
"ALB","LBR",0,1,1,0,0
"ALB","LBY",0,1,1,0,0
"ALB","LCA",0,1,1,0,0
"ALB","LKA",0,1,1,0,0
"ALB","LSO",0,1,1,0,0
"ALB","LTU",0,1,1,0,0
"ALB","LUX",0,0.999995459922373,0.999999798713917,71,173
"ALB","LVA",0,0.999999674160992,0.999999997742752,6,3
"ALB","MAR",0,1,1,0,0
"ALB","MDA",0,1,1,0,0
"ALB","MDG",0,1,1,0,0
"ALB","MDV",0,1,1,0,0
"ALB","MEX",0,0.99999939181709,1,13,0
"ALB","MKD",0,1,1,0,0
"ALB","MLI",0,1,1,0,0
"ALB","MLT",0,1,1,0,0
"ALB","MMR",0,1,1,0,0
"ALB","MNG",0,1,1,0,0
"ALB","MOZ",0,1,1,0,0
"ALB","MRT",0,1,1,0,0
"ALB","MUS",0,1,1,0,0
"ALB","MWI",0,1,1,0,0
"ALB","MYS",0,1,1,0,0
"ALB","NAM",0,1,1,0,0
"ALB","NER",0,1,1,0,0
"ALB","NGA",0,1,1,0,0
"ALB","NIC",0,1,1,0,0
"ALB","NLD",0,0.999962800322407,0.999996544293675,211,808
"ALB","NOR",0,0.999986869748048,0.999999697363943,106,183
"ALB","NPL",0,1,1,0,0
"ALB","NZL",0,1,1,0,0
"ALB","OMN",0,1,1,0,0
"ALB","PAK",0,1,1,0,0
"ALB","PAN",0,1,1,0,0
"ALB","PER",0,1,1,0,0
"ALB","PHL",0,1,1,0,0
"ALB","PNG",0,1,1,0,0
"ALB","POL",0,0.999994511307608,0.999999852208441,34,50
"ALB","PRT",0,0.999998639577402,0.999999948910572,19,26
"ALB","PRY",0,1,1,0,0
"ALB","QAT",0,1,1,0,0
"ALB","ROM",0,1,1,0,0
"ALB","RWA",0,1,1,0,0
"ALB","SAU",0,1,1,0,0
"ALB","SDN",0,1,1,0,0
"ALB","SEN",0,1,1,0,0
"ALB","SGP",0,1,1,0,0
"ALB","SLB",0,1,1,0,0
"ALB","SLE",0,1,1,0,0
"ALB","SLV",0,1,1,0,0
"ALB","SOM",0,1,1,0,0
"ALB","SRB",0,1,1,0,0
"ALB","STP",0,1,1,0,0
"ALB","SUR",0,1,1,0,0
"ALB","SVK",0,0.999999578135667,0.999999933237623,6,37
"ALB","SVN",0,0.999999215258617,0.99999973139999,12,112
"ALB","SWE",0,0.999931976763238,0.999997907360178,300,580
"ALB","SWZ",0,1,1,0,0
"ALB","SYR",0,1,1,0,0
"ALB","TCD",0,1,1,0,0
"ALB","TGO",0,1,1,0,0
"ALB","THA",0,1,1,0,0
"ALB","TJK",0,1,1,0,0
"ALB","TKM",0,1,1,0,0
"ALB","TON",0,1,1,0,0
